QingdaotransactionId,date,amount,description,type,owner,isIncome,location
0001,2024-01-01,200.00,supermarket shopping,0,0003,false,Beijing
0002,2024-01-02,50.00,purchase medicine,1,0004,false,Shanghai
0003,2024-01-03,150.00,going out to eat,2,0005,false,Guangzhou
0004,2024-01-04,3000.00,salary income,5,0006,true,Shenzhen
0005,2024-01-05,1000.00,rent expense,3,0007,false,Chengdu
0006,2024-01-06,80.00,buying fruit,0,0003,false,Hangzhou
0007,2025-04-07,30.00,health check fee,1,0004,false,Nanjing
0008,2024-01-08,200.00,going to the movies,4,0005,false,Wuhan
0009,2024-01-09,5000.00,project bonus,5,0006,true,Chongqing
0010,2024-01-10,1200.00,pay for utilities,3,0007,false,Xian
0011,2024-01-11,150.00,buy daily necessities,0,0003,false,Suzhou
0012,2024-01-12,60.00,register for a medical appointment,1,0004,false,Tianjin
0013,2024-01-13,300.00,banquet,2,0005,false,Changsha
0014,2024-01-14,2000.00,part-time income,5,0006,true,Qingdao
0015,2024-01-15,800.00,pay property fee,3,0007,false,Dalian
0016,2024-01-16,90.00,buy snacks,0,0003,false,Xiamen
0017,2024-01-17,40.00,Optical Fitting Fee,1,0004,false,Fuzhou
0018,2024-01-18,180.00,Karaoke,4,0005,false,Hefei
0019,2024-01-19,3500.00,Sales Commission,5,0006,true,Ningbo
0020,2024-01-20,1300.00,Rent Payment,3,0007,false,Wuxi
0021,2024-01-21,160.00,buy stationery,0,0003,false,Zhengzhou
0022,2024-01-22,70.00,dental treatment,1,0004,false,Jinan
0023,2024-01-23,250.00,have hotpot,2,0005,false,Shenyang
0024,2024-01-24,1800.00,labour remuneration,5,0006,true,Foshan
0025,2024-01-25,900.00,Internet fee,3,0007,false,Dongguan
0026,2024-01-26,100.00,Buying drinks,0,0003,false,Kunming
0027,2024-01-27,50.00,Massage relaxation,1,0004,false,Nanning
0028,2024-01-28,220.00,Amusement park visit,4,0005,false,Nanchang
0029,2024-01-29,4000.00,year-end bonus,5,0006,true,Guiyang
0030,2024-01-30,1400.00,rent expense,3,0007,false,Taiyuan
0031,2024-02-01,170.00,purchase of clothing,0,0003,false,Lanzhou
0032,2024-02-02,80.00,vaccination,1,0004,false,Xining
0033,2024-02-03,320.00,Eat Western cuisine,2,0005,false,Haikou
0034,2024-02-04,2200.00,Part-time income,5,0006,true,Yinchuan
0035,2024-02-05,1000.00,Pay utilities,3,0007,false,Urumqi
0036,2024-02-06,110.00,Buy fruit,0,0003,false,Lhasa
0037,2024-02-07,60.00,Physical Examination Fee,1,0004,false,Hohhot
0038,2024-02-08,240.00,Watch a Drama,4,0005,false,Harbin
0039,2024-02-09,4500.00,Project Commission,5,0006,true,Changchun
0040,2024-02-10,1500.00,Pay Rent,3,0007,false,Shijiazhuang
0041,2024-03-15,185.90,Biweekly Grocery Delivery,0,0004,false,Guangzhou
0042,2024-08-28,120.00,Annual Physical Exam Fee,1,0005,false,Chongqing
0043,2024-06-07,290.30,Restaurant Dinner Reservation,2,0007,false,Nanjing
0044,2024-10-01,8500.00,Monthly Pension Deposit,5,0006,true,Shanghai
0045,2024-02-19,380.80,Theme Park Annual Pass,4,0003,false,Qingdao
0047,2024-09-10,195.65,Skincare Routine Overhaul,7,0004,false,Hangzhou
0048,2024-01-03,85.20,Video Game Collector's Edition,11,0007,false,Wuhan
0049,2024-11-05,7800.50,Freelance Writing Payment,5,0003,true,Shenzhen
0050,2024-04-22,1950.90,Co-Working Space Annual Fee,3,0006,false,Tianjin
0051,2024-07-10,220.50,Farm-to-Table Vegetable Box,0,0003,false,Beijing
0052,2024-03-01,98.00,Allergy Testing Service,1,0004,false,Shanghai
0053,2024-09-15,350.70,Cafe Brunch Experience,2,0005,false,Guangzhou
0054,2024-06-20,6500.00,Stock Dividend Payout,5,0007,true,Shenzhen
0055,2024-12-25,450.00,Concert VIP Package,4,0006,false,Chengdu
0057,2024-08-05,320.80,High-End Skincare Set,7,0005,false,Nanjing
0058,2024-05-12,75.00,Gaming Keyboard and Mouse,11,0003,false,Wuhan
0059,2024-10-28,9200.00,Photography Gig Earnings,5,0007,true,Chongqing
0060,2024-03-22,2200.00,Monthly Rent Payment,3,0006,false,Xi'an
0061,2024-07-03,190.50,Gluten-Free Pantry Restock,0,0003,false,Suzhou
0062,2024-02-14,110.00,Orthopedic Pillow Purchase,1,0004,false,Tianjin
0063,2024-08-22,380.30,Food Truck Festival Visit,2,0005,false,Changsha
0064,2024-06-11,7200.00,Affiliate Marketing Commission,5,0007,true,Qingdao
0065,2024-11-18,480.00,Magic Show,4,0006,false,Dalian
0067,2024-09-02,395.65,Makeup Artist Kit,7,0005,false,Fuzhou
0068,2024-01-15,65.00,Online Game Subscription,11,0003,false,Hefei
0069,2024-12-01,8800.50,Tutoring Service Income,5,0007,true,Ningbo
0070,2024-03-18,2400.00,Rental Deposit,3,0006,false,Wuxi
0071,2024-07-25,205.90,International Food Aisle Purchase,0,0003,false,Zhengzhou
0072,2024-02-28,130.00,CPAP Machine Maintenance,1,0004,false,Jinan
0073,2024-09-30,330.70,Fine Dining Tasting Menu,2,0005,false,Shenyang
0074,2024-06-03,6800.00,Rental Property Income,5,0007,true,Foshan
0075,2024-11-10,430.00,Theater Season Pass,4,0006,false,Dongguan
